title,firstName,lastName,email,phone,company,estimatedValue,assignedTo
Elektriker - Notdienst Nord 24,Ansprechpartner,unbekannt,info@hte-elektrotechnik.de,040 607791177,Notdienst Nord 24,44,
Elektriker - Elektrotechnik Thorsten Becker,Ansprechpartner,unbekannt,info@elektrikerhamburg.de,040 8506844,Elektrotechnik Thorsten Becker,31,
Elektriker - Mein Elektriker Hamburg,Ansprechpartner,unbekannt,info@elektriker-in.hamburg,040 74303288,Mein Elektriker Hamburg,31,
Elektriker - Elektro Zontek,Ansprechpartner,unbekannt,info@elektro-zontek.de,040 65493082,Elektro Zontek,31,
Elektriker - Elektro-Fiedler GmbH,Ansprechpartner,unbekannt,info@elektro-fiedler.de,040 2511410,Elektro-Fiedler GmbH,44,
Elektriker - Hümmer Elektrotechnik GmbH,Ansprechpartner,unbekannt,info@huemmer.com,040 3986660,Hümmer Elektrotechnik GmbH,36,
Elektriker - ETT Elektrotechnik Team GmbH,Ansprechpartner,unbekannt,info@elektrotechnik-team.de,040 72377190,ETT Elektrotechnik Team GmbH,31,
Elektriker - Dein Elektriker.Hamburg Elektrotechnik Philipp Schönknecht,Ansprechpartner,unbekannt,info@DeinElektriker.hamburg,040 30929840,Dein Elektriker.Hamburg Elektrotechnik Philipp Schönknecht,31,
Elektriker - SF Elektrotechnik,Ansprechpartner,unbekannt,info@sfelektrotechnik.de,01522 7424403,SF Elektrotechnik,31,
Elektriker - Elektrotechnik Schulz GmbH,Ansprechpartner,unbekannt,info@e-technik-schulz.de,040 22609848,Elektrotechnik Schulz GmbH,31,
Elektriker - Bartsch Elektrotechnik GmbH,Ansprechpartner,unbekannt,mail@bartsch-elektro.de,040 88165220,Bartsch Elektrotechnik GmbH,31,
Elektriker - Richter Elektrotechnik GmbH,Ansprechpartner,unbekannt,info@richterelektrotechnik.com,0176 72237172,Richter Elektrotechnik GmbH,44,
Elektriker - ELEKTROHAMBURG AS GmbH,Ansprechpartner,unbekannt,moin@elektrohamburg.de,040 320300030,ELEKTROHAMBURG AS GmbH,44,
Elektriker - Novatok Elektro,Ansprechpartner,unbekannt,info@novatok.de,0176 76966733,Novatok Elektro,44,
Elektriker - Paul Meyer Elektrotechnik,Ansprechpartner,unbekannt,info@meyer-alfeld.de,05181 8527962,Paul Meyer Elektrotechnik,31,
Elektriker - Elektrha GmbH,Ansprechpartner,unbekannt,kontakt@elektrha.de,05181 9176920,Elektrha GmbH,28,
Elektriker - Lydia Malten Elektrotechnik,Ansprechpartner,unbekannt,info@malten-elektrotechnik.de,0170 3623732,Lydia Malten Elektrotechnik,31,
Elektriker - Mann & Partner Industrie-und Elektrotechnik GmbH,Ansprechpartner,unbekannt,info@mannundpartner.de,05181 805450,Mann & Partner Industrie-und Elektrotechnik GmbH,44,
Elektriker - expert Espelage,Ansprechpartner,unbekannt,f.espelage@espelage.de,05181 84030,expert Espelage,24,
Elektriker - JHM e. K.,Ansprechpartner,unbekannt,info@jhm-alfeld.de,05181 8558447,JHM e. K.,21,
Elektriker - WOLF-Service,Ansprechpartner,unbekannt,info@wolf-service.de,05181 85340,WOLF-Service,31,
