company_name,category,address,city,postal_code,country,phone,email,website,instagram,facebook,tiktok,youtube,linkedin,google_rating,review_count,has_website,website_quality,lead_score,priority,source,scraped_at,maps_url,website_status,website_final_url,website_http_status,website_https,website_title,website_meta_description,website_h1,website_mobile_meta,website_has_phone,website_has_email,website_impressum,website_datenschutz,website_instagram,website_facebook,website_linkedin,website_youtube,website_tiktok,website_ssl_valid,website_load_time_ms,website_contact_form,website_robots_txt,website_sitemap,website_score,potential,ai_reason,score_reasons,sales_argument_1,sales_argument_2,sales_argument_3
Notdienst Nord 24,Elektriker,"Rennbahnstraße 26, 22111 Hamburg",Hamburg,,Deutschland,040 607791177,info@hte-elektrotechnik.de,https://notdienst-nord24.de/,,,,,,5.0,,true,MITTEL,44,HOCH,Google Maps,2026-09-12T11:36:58.372703,https://www.google.com/maps/place/Notdienst+Nord+24/data=!4m7!3m6!1s0x47b18d98148010c3:0x2f4da3ec47043c40!8m2!3d53.552945!4d10.084915!16s%2Fg%2F11zb4f_7jy!19sChIJwxCAFJiNsUcRQDwER-yjTS8?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://notdienst-nord24.de/,200,true,Elektro & Sanitär Notdienst Hamburg | Notdienst Nord24,"Nord24 hilft bei Stromausfall, Kurzschluss, Rohrbruch und Wasserschaden in Hamburg. Jetzt direkt anrufen und schnelle Hilfe erhalten.",Elektro Notdienst in Hamburg,true,true,false,true,true,false,false,false,false,false,false,1869,false,true,true,75,HOCH,"Der Lead Notdienst Nord 24 hat eine sehr gute Google-Bewertung (5,0) und eine direkt verfügbare E-Mail-Adresse. Der Basisscore von 44/100 zeigt, dass das Unternehmen eine mittlere Website-Qualität hat.",Website besitzt Verbesserungspotenzial. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,Der Notdienst hat eine hohe Reichweite und Vertrauenswürdigkeit durch die gute Google-Bewertung.,"Eine direkte E-Mail-Adresse ist vorhanden, was es einfacher macht, Kontakt aufzunehmen.","Der mittlere Basisscore zeigt, dass das Unternehmen Verbesserungspotenzial bei seiner Website hat."
Maximilian Täschner Elektrotechnik & Notdienst,Elektriker,"Lutterothstraße 3, 20255 Eimsbüttel",Hamburg,,Deutschland,0176 57946452,,,https://www.instagram.com/mtelektrotechnik?igsh=YXNiN25kMHlzdWxq&utm_source=qr,,,,,5.0,,false,KEINE WEBSITE,65,HOCH,Google Maps,2026-09-12T11:37:04.719362,https://www.google.com/maps/place/Maximilian+T%C3%A4schner+Elektrotechnik+%26+Notdienst/data=!4m7!3m6!1s0x47b18fdb227b1483:0x197ba87b070378bb!8m2!3d53.5786506!4d9.9566614!16s%2Fg%2F11mm4nzm26!19sChIJgxR7ItuPsUcRu3gDB3uoexk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100,HOCH,"Die Firma hat keine eigene Website, was ein starkes Vertriebssignal ist. Zudem verfügt sie über eine sehr gute Google-Bewertung und ist auf Instagram präsent. Der Basisscore ist 65/100, was für die Branche durchschnittlich ist. Dieser Lead sollte daher sofort vom Vertrieb kontaktiert werden.","Keine eigene Website vorhanden. | Sehr gute Google-Bewertung. | Social-Media-Präsenz vorhanden, aber keine eigene Website.","Die Firma hat keinen Online-Auftritt, was bedeutet, dass sie möglicherweise Schwierigkeiten hat, neue Kunden anzuziehen und ihr Online-Image zu verbessern.",Eine hohe Google-Bewertung von 5.0 sagt jedoch nichts über den Bedarf an professionellem Webdesign aus.,"Die Präsenz auf Instagram zeigt, dass die Firma sich für Soziale-Media-Marketing interessiert, aber ohne eigene Website kann dies möglicherweise nicht optimal umgesetzt werden."
Elektrotechnik Thorsten Becker,Elektriker,"Theodorstraße 41A, 22761 Altona",Hamburg,,Deutschland,040 8506844,info@elektrikerhamburg.de,http://www.elektrikerhamburg.de/,,,,,,4.8,,true,HOCH,31,HOCH,Google Maps,2026-09-12T11:37:12.347149,https://www.google.com/maps/place/Elektrotechnik+Thorsten+Becker/data=!4m7!3m6!1s0x47b185c96babc9b5:0xbc505292a8a6dc05!8m2!3d53.5701674!4d9.8979293!16s%2Fg%2F1thkw9zc!19sChIJtcmra8mFsUcRBdymqJJSULw?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektrikerhamburg.de/,200,true,"Elektriker Hamburg - Elektrotechnik, Installation und Wartung","Ihr Elektriker in Hamburg für Installation, Reparatur und Wartung. Ihr Profi für kompetente Elektroarbeiten für private und gewerbliche Kunden rund um Hamburg.",Ihr Elektriker in Hamburg – Zuverlässiger Meisterbetrieb für Elektroarbeiten,true,true,true,true,true,false,false,false,false,false,false,2139,true,true,true,87,HOCH,Die Firma verfügt über eine sehr gute Website und eine hohe Google-Bewertung. Die direkte E-Mail-Adresse ist ebenfalls vorhanden. Der Basisscore ist ebenfalls relativ hoch.,Website ist bereits relativ gut. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,"Die Firma verfügt bereits über eine professionelle Online-Präsenz, was eine hohe Wahrscheinlichkeit eines hohen Bedarfs an Webdesign- und Digitalagentur-Leistungen bedeutet.",Die sehr gute Google-Bewertung kann ein Indikator für eine hohe Zufriedenheit der Kunden mit bestehenden Webdesign- und Digitalagentur-Leistungen sein.,"Die direkte E-Mail-Adresse bietet eine einfache Möglichkeit, Kontakt mit der Firma aufzunehmen und sie über unsere Leistungen zu informieren."
Mein Elektriker Hamburg,Elektriker,"Ladengeschäft, Bahrenfelder Chaussee 80, 22761 Hamburg",Hamburg,,Deutschland,040 74303288,info@elektriker-in.hamburg,https://elektriker-in.hamburg/,,,,,,5.0,,true,HOCH,31,HOCH,Google Maps,2026-09-12T11:37:24.943630,https://www.google.com/maps/place/Mein+Elektriker+Hamburg/data=!4m7!3m6!1s0xa1cef42164d490ad:0xffcfa1493875c5e4!8m2!3d53.5668843!4d9.9087528!16s%2Fg%2F11xgttn36k!19sChIJrZDUZCH0zqER5MV1OEmhz_8?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektriker-in.hamburg/,200,true,Elektriker Hamburg - 110% Qualität - JETZT Beratung sichern,Elektriker Hamburg: Wir sind Ihr Ansprechpartner für sämtliche Dienstleistungen im Bereich der Elektrotechnik. Sichern Sie sich noch heute einen Termin.,Home,true,true,true,true,true,true,true,false,false,false,false,1534,true,true,true,91,HOCH,"Die Firma hat eine sehr gute Google-Bewertung (5,0) und eine hohe Website-Qualität, was auf einen hohen Bedarf an Webdesign-Dienstleistungen schließen lässt. Zudem ist die Website bereits vorhanden und die Direkt-E-Mail-Adresse ist bekannt.",Website ist bereits relativ gut. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,"Die Firma hat bereits eine Website, was auf einen Bedarf an Webdesign-Dienstleistungen schließen lässt.","Die sehr gute Google-Bewertung (5,0) deutet auf eine zufriedene Kundenbasis hin.",Die hohe Website-Qualität ist ein weiterer Hinweis auf einen hohen Bedarf an Webdesign-Dienstleistungen.
Elektro Service AK GmbH,Elektriker,"Borstelmannsweg 76, 20537 Hamburg",Hamburg,,Deutschland,040 98669051,,,,,,,,4.8,,false,KEINE WEBSITE,58,HOCH,Google Maps,2026-09-12T11:37:33.396270,https://www.google.com/maps/place/Elektro+Service+AK+GmbH/data=!4m7!3m6!1s0x47b18df76446652b:0xc48840837e6d57fa!8m2!3d53.5511226!4d10.0533885!16s%2Fg%2F11pz2zcqf8!19sChIJK2VGZPeNsUcR-ldtfoNAiMQ?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100,HOCH,"Da die Firma keine eigene Website hat, ist das Potenzial für einen Webdesign-Bedarf sehr hoch. Zudem besitzt die Firma eine sehr gute Google-Bewertung, was darauf hindeutet, dass die Firma in Hamburg ein gutes Ansehen hat und daher möglicherweise auch nach einem professionellen Webdesign suchen könnte.",Keine eigene Website vorhanden. | Sehr gute Google-Bewertung.,"Da die Firma keine eigene Website hat, ist ein Webdesign ein grundlegender Bedarf für die Firma.",Eine eigene Website kann die Firma in Hamburg noch bekannter machen und ihr Ansehen verbessern.,Eine professionelle Webdesign-Lösung kann die Firma auch bei der Online-Präsenz und -Marketing-Strategie unterstützen.
Elektro Zontek,Elektriker,"Jenfelder Str. 155, 22045 Wandsbek",Hamburg,,Deutschland,040 65493082,info@elektro-zontek.de,http://www.elektro-zontek.de/,,,,,,5.0,,true,HOCH,31,HOCH,Google Maps,2026-09-12T11:37:41.081613,https://www.google.com/maps/place/Elektro+Zontek/data=!4m7!3m6!1s0x47b18b83da39edf9:0xb9bdf2352ed91672!8m2!3d53.57489!4d10.12478!16s%2Fg%2F1tgcqy8b!19sChIJ-e052oOLsUcRchbZLjXyvbk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektro-zontek.de/,200,true,Elektro Zontek,"Technik für Ihre Zukunft. Mit Innovation, Nachhaltigkeit und Effizienz - in eine sichere und bessere Zukunft.",Technik für Ihre Zukunft,true,true,true,true,true,true,false,false,false,false,false,1256,false,true,true,88,HOCH,"Die Firma Elektro Zontek hat eine sehr gute Google-Bewertung von 5.0 und eine hohe Website-Qualität. Zudem ist eine direkte E-Mail-Adresse verfügbar. Außerdem ist der Basisscore von 31/100 kein hoher Wert, was uns sagt, dass noch Raum für Verbesserung besteht.",Website ist bereits relativ gut. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,"Die sehr gute Google-Bewertung spricht für ein hohes Maß an Kundenzufriedenheit und somit auch für eine hohe Wahrscheinlichkeit, dass die Firma auch weitere digitale Services in Anspruch nehmen wird.","Die hohe Website-Qualität zeigt, dass die Firma Wert auf eine moderne und benutzerfreundliche Online-Aufmachung legt, was wiederum ein Indikator für ein hohes Maß an Digitalisierungsbewusstsein ist.","Die Verfügbarkeit einer direkten E-Mail-Adresse ermöglicht es uns, direkt und effektiv Kontakt aufzunehmen, um unsere Dienstleistungen anzubieten."
Elektro-Fiedler GmbH,Elektriker,"Bürgerweide 62, 20535 Hamburg",Hamburg,,Deutschland,040 2511410,info@elektro-fiedler.de,http://www.elektro-fiedler.de/,,,,,,4.6,,true,MITTEL,44,HOCH,Google Maps,2026-09-12T11:37:47.969235,https://www.google.com/maps/place/Elektro-Fiedler+GmbH/data=!4m7!3m6!1s0x47b18ebf0440eac1:0x460f9d30c4acb2b!8m2!3d53.5578022!4d10.0360044!16s%2Fg%2F1vhlx7cp!19sChIJwepABL-OsUcRK8tKDNP5YAQ?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektro-fiedler.de/,200,true,Elektroinstallation und Kommunikationsanlagen fÃ¼r Unternehmen und Privatkunden,"Elektro Fiedler: Planung, Elektroinstallation, Netzwerkverkabelung, GebÃ¤udetechnik",Ãber Elektro-Fiedler,true,true,false,true,true,false,false,false,false,false,false,381,false,false,false,76,HOCH,"Die Website der Elektro-Fiedler GmbH hat zwar ein Verbesserungspotenzial, aber eine sehr gute Google-Bewertung und eine direkte E-Mail-Adresse sind positive Faktoren. Der Basisscore von 44/100 ist kein Ausschlusskriterium.",Website besitzt Verbesserungspotenzial. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,Die gute Google-Bewertung ist ein Indikator für hohen Stellenwert und potenziellen Bedarf an professionellem Webdesign.,Die direkte E-Mail-Adresse ermöglicht einen direkten Kontakt und eine effiziente Kommunikation.,"Das Unternehmen ist in einer wichtigen Branche tätig, was ein großes Potenzial für unsere Dienstleistungen bietet."
Hümmer Elektrotechnik GmbH,Elektriker,"Gaußstraße 158, 22765 Altona",Hamburg,,Deutschland,040 3986660,info@huemmer.com,http://www.huemmer.com/,,,,,,4.7,,true,,36,HOCH,Google Maps,2026-09-12T11:37:58.769409,https://www.google.com/maps/place/H%C3%BCmmer+Elektrotechnik+GmbH/data=!4m7!3m6!1s0x47b1858deff17309:0x99b51f2292b35a3c!8m2!3d53.5589413!4d9.9285479!16s%2Fg%2F1trppvn6!19sChIJCXPx742FsUcRPFqzkiIftZk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,NICHT ERREICHBAR,,,,,,,,,,,,,,,,,,,,,,,HOCH,"Die Firma Hümmer Elektrotechnik GmbH hat eine sehr gute Google-Bewertung von 4,7 und eine direkt verfügbare E-Mail-Adresse. Da auch die Website verfügbar ist, aber die Qualität noch nicht eindeutig bewertet werden kann, ist dies ein interessanter Lead, der zeitnah vom Vertrieb kontaktiert werden sollte.","Website vorhanden, Qualität noch nicht eindeutig bewertet. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.",Die sehr gute Google-Bewertung spricht für eine hohe Kundenzufriedenheit und damit möglicherweise auch für einen hohen Bedarf an Webdesign-Leistungen.,"Die Verfügbarkeit einer E-Mail-Adresse ermöglicht einen direkten Kontakt und ermöglicht es uns, den Bedarf an Webdesign-Leistungen direkt anzusprechen.","Die fehlende Qualitätseinschätzung der Website eröffnet Möglichkeiten für eine angepasste Lösung, die die Wünsche und Bedürfnisse der Firma genau erfüllt."
Kocaman Elektrotechnik,Elektriker,"Fischers Allee 93, 22763 Altona",Hamburg,,Deutschland,0176 97721914,,http://kocamanelektrotechnik.com/,,,,,,4.7,,true,MITTEL,36,HOCH,Google Maps,2026-09-12T11:38:05.652286,https://www.google.com/maps/place/Kocaman+Elektrotechnik/data=!4m7!3m6!1s0x47b18f70c02bf933:0xf117aa743054171e!8m2!3d53.5529446!4d9.9224079!16s%2Fg%2F11h6ngkb20!19sChIJM_krwHCPsUcRHhdUMHSqF_E?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://kocamanelektrotechnik.com/,200,true,Private Website,,Private Website,true,false,false,false,false,false,false,false,false,false,false,771,false,true,true,56,HOCH,"Kurze Website vorhanden, aber nur mäßige Qualität und geringe Google-Bewertung. Basisscore von 36/100 ist auch nicht optimal. Dennoch kann es sich um einen guten Kunden lohnen, da eine fehlende Website ein starkes Vertriebssignal ist.",Website besitzt Verbesserungspotenzial. | Sehr gute Google-Bewertung.,"Die Firma hat keine eigene Website, was ein starkes Vertriebssignal ist.","Die Website ist zwar vorhanden, aber nur von mäßiger Qualität.","Die Firma hat eine gute Google-Bewertung, was ein positives Zeichen ist."
ETT Elektrotechnik Team GmbH,Elektriker,"Allermöher Deich 61, 21037 Bergedorf",Hamburg,,Deutschland,040 72377190,info@elektrotechnik-team.de,http://www.elektrotechnik-team.de/,,,,,,5.0,,true,HOCH,31,HOCH,Google Maps,2026-09-12T11:38:12.754827,https://www.google.com/maps/place/ETT+Elektrotechnik+Team+GmbH/data=!4m7!3m6!1s0x47b18d60346d1b55:0x3da07e4775f86ce4!8m2!3d53.4828716!4d10.1221117!16s%2Fg%2F1td16x6s!19sChIJVRttNGCNsUcR5Gz4dUd-oD0?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektrotechnik-team.de/,200,true,Willkommen bei Elektro Technik Team | ETT Home,"Ob Privathaus, modernes Büro oder fortschrittlicher Kindergarten – wir elektrisieren jede Immobilie ✔️ Planen ✔️ Realisieren ✔️ Moderne Technologie",Von Smart Home bis Kindergarten,true,true,true,true,true,false,false,false,false,false,false,866,false,true,true,84,HOCH,Die Firma ETT Elektrotechnik Team GmbH hat eine sehr gute Google-Bewertung und eine hohe Website-Qualität. Die direkte E-Mail-Adresse und die Vorhandensein einer Website sprechen für eine professionelle Online-Anwesenheit.,Website ist bereits relativ gut. | Sehr gute Google-Bewertung. | Direkte E-Mail-Adresse vorhanden.,"Die Firma hat bereits eine Website und eine hohe Google-Bewertung, was auf eine bereits bestehende Online-Präsenz hinweist.","Eine hohe Website-Qualität und eine gute Google-Bewertung zeigen, dass die Firma Wert auf eine positive Online-Auftritt legt.",Die direkte E-Mail-Adresse ermöglicht einen einfachen Kontakt und potenzielle Anfragen können direkt bearbeitet werden.
