company_name,category,address,city,postal_code,country,phone,email,website,instagram,facebook,tiktok,youtube,linkedin,google_rating,review_count,has_website,website_quality,lead_score,priority,source,scraped_at,maps_url,website_status,website_final_url,website_http_status,website_https,website_title,website_meta_description,website_h1,website_mobile_meta,website_has_phone,website_has_email,website_impressum,website_datenschutz,website_instagram,website_facebook,website_linkedin,website_youtube,website_tiktok,website_ssl_valid,website_load_time_ms,website_contact_form,website_robots_txt,website_sitemap,website_score
Notdienst Nord 24,Elektriker,"Rennbahnstraße 26, 22111 Hamburg",Hamburg,,Deutschland,040 607791177,info@hte-elektrotechnik.de,https://notdienst-nord24.de/,,,,,,5.0,,true,MITTEL,,,Google Maps,2026-09-12T11:36:58.372703,https://www.google.com/maps/place/Notdienst+Nord+24/data=!4m7!3m6!1s0x47b18d98148010c3:0x2f4da3ec47043c40!8m2!3d53.552945!4d10.084915!16s%2Fg%2F11zb4f_7jy!19sChIJwxCAFJiNsUcRQDwER-yjTS8?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://notdienst-nord24.de/,200,true,Elektro & Sanitär Notdienst Hamburg | Notdienst Nord24,"Nord24 hilft bei Stromausfall, Kurzschluss, Rohrbruch und Wasserschaden in Hamburg. Jetzt direkt anrufen und schnelle Hilfe erhalten.",Elektro Notdienst in Hamburg,true,true,false,true,true,false,false,false,false,false,false,1869,false,true,true,75
Maximilian Täschner Elektrotechnik & Notdienst,Elektriker,"Lutterothstraße 3, 20255 Eimsbüttel",Hamburg,,Deutschland,0176 57946452,,,https://www.instagram.com/mtelektrotechnik?igsh=YXNiN25kMHlzdWxq&utm_source=qr,,,,,5.0,,false,KEINE WEBSITE,,,Google Maps,2026-09-12T11:37:04.719362,https://www.google.com/maps/place/Maximilian+T%C3%A4schner+Elektrotechnik+%26+Notdienst/data=!4m7!3m6!1s0x47b18fdb227b1483:0x197ba87b070378bb!8m2!3d53.5786506!4d9.9566614!16s%2Fg%2F11mm4nzm26!19sChIJgxR7ItuPsUcRu3gDB3uoexk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100
Elektrotechnik Thorsten Becker,Elektriker,"Theodorstraße 41A, 22761 Altona",Hamburg,,Deutschland,040 8506844,info@elektrikerhamburg.de,http://www.elektrikerhamburg.de/,,,,,,4.8,,true,HOCH,,,Google Maps,2026-09-12T11:37:12.347149,https://www.google.com/maps/place/Elektrotechnik+Thorsten+Becker/data=!4m7!3m6!1s0x47b185c96babc9b5:0xbc505292a8a6dc05!8m2!3d53.5701674!4d9.8979293!16s%2Fg%2F1thkw9zc!19sChIJtcmra8mFsUcRBdymqJJSULw?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektrikerhamburg.de/,200,true,"Elektriker Hamburg - Elektrotechnik, Installation und Wartung","Ihr Elektriker in Hamburg für Installation, Reparatur und Wartung. Ihr Profi für kompetente Elektroarbeiten für private und gewerbliche Kunden rund um Hamburg.",Ihr Elektriker in Hamburg – Zuverlässiger Meisterbetrieb für Elektroarbeiten,true,true,true,true,true,false,false,false,false,false,false,2139,true,true,true,87
Mein Elektriker Hamburg,Elektriker,"Ladengeschäft, Bahrenfelder Chaussee 80, 22761 Hamburg",Hamburg,,Deutschland,040 74303288,info@elektriker-in.hamburg,https://elektriker-in.hamburg/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-12T11:37:24.943630,https://www.google.com/maps/place/Mein+Elektriker+Hamburg/data=!4m7!3m6!1s0xa1cef42164d490ad:0xffcfa1493875c5e4!8m2!3d53.5668843!4d9.9087528!16s%2Fg%2F11xgttn36k!19sChIJrZDUZCH0zqER5MV1OEmhz_8?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektriker-in.hamburg/,200,true,Elektriker Hamburg - 110% Qualität - JETZT Beratung sichern,Elektriker Hamburg: Wir sind Ihr Ansprechpartner für sämtliche Dienstleistungen im Bereich der Elektrotechnik. Sichern Sie sich noch heute einen Termin.,Home,true,true,true,true,true,true,true,false,false,false,false,1534,true,true,true,91
Elektro Service AK GmbH,Elektriker,"Borstelmannsweg 76, 20537 Hamburg",Hamburg,,Deutschland,040 98669051,,,,,,,,4.8,,false,KEINE WEBSITE,,,Google Maps,2026-09-12T11:37:33.396270,https://www.google.com/maps/place/Elektro+Service+AK+GmbH/data=!4m7!3m6!1s0x47b18df76446652b:0xc48840837e6d57fa!8m2!3d53.5511226!4d10.0533885!16s%2Fg%2F11pz2zcqf8!19sChIJK2VGZPeNsUcR-ldtfoNAiMQ?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100
Elektro Zontek,Elektriker,"Jenfelder Str. 155, 22045 Wandsbek",Hamburg,,Deutschland,040 65493082,info@elektro-zontek.de,http://www.elektro-zontek.de/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-12T11:37:41.081613,https://www.google.com/maps/place/Elektro+Zontek/data=!4m7!3m6!1s0x47b18b83da39edf9:0xb9bdf2352ed91672!8m2!3d53.57489!4d10.12478!16s%2Fg%2F1tgcqy8b!19sChIJ-e052oOLsUcRchbZLjXyvbk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektro-zontek.de/,200,true,Elektro Zontek,"Technik für Ihre Zukunft. Mit Innovation, Nachhaltigkeit und Effizienz - in eine sichere und bessere Zukunft.",Technik für Ihre Zukunft,true,true,true,true,true,true,false,false,false,false,false,1256,false,true,true,88
Elektro-Fiedler GmbH,Elektriker,"Bürgerweide 62, 20535 Hamburg",Hamburg,,Deutschland,040 2511410,info@elektro-fiedler.de,http://www.elektro-fiedler.de/,,,,,,4.6,,true,MITTEL,,,Google Maps,2026-09-12T11:37:47.969235,https://www.google.com/maps/place/Elektro-Fiedler+GmbH/data=!4m7!3m6!1s0x47b18ebf0440eac1:0x460f9d30c4acb2b!8m2!3d53.5578022!4d10.0360044!16s%2Fg%2F1vhlx7cp!19sChIJwepABL-OsUcRK8tKDNP5YAQ?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektro-fiedler.de/,200,true,Elektroinstallation und Kommunikationsanlagen fÃ¼r Unternehmen und Privatkunden,"Elektro Fiedler: Planung, Elektroinstallation, Netzwerkverkabelung, GebÃ¤udetechnik",Ãber Elektro-Fiedler,true,true,false,true,true,false,false,false,false,false,false,381,false,false,false,76
Hümmer Elektrotechnik GmbH,Elektriker,"Gaußstraße 158, 22765 Altona",Hamburg,,Deutschland,040 3986660,info@huemmer.com,http://www.huemmer.com/,,,,,,4.7,,true,,,,Google Maps,2026-09-12T11:37:58.769409,https://www.google.com/maps/place/H%C3%BCmmer+Elektrotechnik+GmbH/data=!4m7!3m6!1s0x47b1858deff17309:0x99b51f2292b35a3c!8m2!3d53.5589413!4d9.9285479!16s%2Fg%2F1trppvn6!19sChIJCXPx742FsUcRPFqzkiIftZk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,NICHT ERREICHBAR,,,,,,,,,,,,,,,,,,,,,,
Kocaman Elektrotechnik,Elektriker,"Fischers Allee 93, 22763 Altona",Hamburg,,Deutschland,0176 97721914,,http://kocamanelektrotechnik.com/,,,,,,4.7,,true,MITTEL,,,Google Maps,2026-09-12T11:38:05.652286,https://www.google.com/maps/place/Kocaman+Elektrotechnik/data=!4m7!3m6!1s0x47b18f70c02bf933:0xf117aa743054171e!8m2!3d53.5529446!4d9.9224079!16s%2Fg%2F11h6ngkb20!19sChIJM_krwHCPsUcRHhdUMHSqF_E?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://kocamanelektrotechnik.com/,200,true,Private Website,,Private Website,true,false,false,false,false,false,false,false,false,false,false,771,false,true,true,56
ETT Elektrotechnik Team GmbH,Elektriker,"Allermöher Deich 61, 21037 Bergedorf",Hamburg,,Deutschland,040 72377190,info@elektrotechnik-team.de,http://www.elektrotechnik-team.de/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-12T11:38:12.754827,https://www.google.com/maps/place/ETT+Elektrotechnik+Team+GmbH/data=!4m7!3m6!1s0x47b18d60346d1b55:0x3da07e4775f86ce4!8m2!3d53.4828716!4d10.1221117!16s%2Fg%2F1td16x6s!19sChIJVRttNGCNsUcR5Gz4dUd-oD0?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektrotechnik-team.de/,200,true,Willkommen bei Elektro Technik Team | ETT Home,"Ob Privathaus, modernes Büro oder fortschrittlicher Kindergarten – wir elektrisieren jede Immobilie ✔️ Planen ✔️ Realisieren ✔️ Moderne Technologie",Von Smart Home bis Kindergarten,true,true,true,true,true,false,false,false,false,false,false,866,false,true,true,84
